max,min,ptp,mean,median,var,skew,kurt,rms,zero,label
2.340056289,-2.738164551,5.07822084,-0.042377253,-0.039859884,1.12503,-0.17160407,-0.26870316,1.0615207182450486,0,0
2.64455823,-2.268517944,4.913076174,-0.015220068,-0.049522116,0.884485,0.12328242,-0.54398463,0.9405939132588078,0,0
3.280000298,-3.076282135,6.3562824330000005,0.032212465,-0.067234794,1.004983,0.12911747,0.50251756,1.0030058208986106,0,0
3.357026839,-2.685406294,6.042433132999999,-0.028684661,-0.142021559,1.491201,0.32646775,-0.45589295,1.2214843821856198,0,0
3.390327317,-3.188911203,6.5792385200000005,-0.017172346,-0.218902505,1.301349,0.41695228,0.11378686,1.1408960512681037,0,0
3.411212402,-2.644450641,6.055663043,-0.029138601,-0.132705483,1.154851,0.29371716,0.07207559,1.075034752527834,0,0
3.432033752,-2.035514587,5.467548339,-0.118158602,-0.266338334,1.282416,1.02236183,1.11898736,1.1385858228902532,0,0
3.478717922,-3.011247064,6.489964986,-0.034023386,-0.040846894,1.885685,0.27727777,-0.2929779,1.3736238197104491,0,0
3.483120875,-4.007505607,7.490626482,0.033457691,0.010104573,1.640118,0.06045769,0.02270965,1.2811077464113994,0,0
3.617528483,-3.667376581,7.284905064,-0.095582012,-0.089162145,2.055911,0.21950819,-0.01393763,1.4370270661308353,0,0
3.627996753,-2.779011446,6.407008199,0.058246677,0.000818025,1.521901,0.33833853,0.16355215,1.2350279596161358,0,0
3.638524665,-2.487072832,6.125597496999999,0.086745598,0.108687167,1.362434,0.05532142,-0.31767567,1.1704525355637423,0,0
3.723970612,-3.715015016,7.438985628,-0.061645368,-0.09634925,1.493212,0.07358305,0.01530995,1.2235245885542545,0,0
3.743119074,-2.145912942,5.889032016,-0.075938332,-0.193692527,1.157783,0.88358029,0.8937762,1.0786794975143752,0,0
3.861695344,-2.879623901,6.741319245,-0.034948537,-0.058370123,1.272492,0.46930094,0.297193,1.1285890318323353,0,0
3.888998333,-3.711908975,7.600907308,-0.026257923,-0.047731698,2.174016,0.11606381,0.11282802,1.474688189431017,0,0
3.980787925,-3.115777738,7.096565663,-0.05629667,-0.221501885,1.632148,0.61675387,0.25554121,1.2787951046178545,0,0
4.048332036,-2.870662458,6.918994494,-0.050655774,-0.09536838,1.471631,0.41493686,0.21895784,1.214165056851626,0,0
4.097671427,-4.069607715,8.167279142,-0.099123711,-0.236170794,1.842232,0.58886358,0.42086308,1.3609033618369504,0,0
4.165687408,-3.665811281,7.831498689,-0.080966333,-0.099713446,1.834787,0.29266737,0.82010997,1.3569607643349968,0,0
4.254462175,-4.329647428,8.584109603,-0.122431251,0.059070034,1.993909,-0.09031026,0.16156344,1.4173562936407895,0,0
4.293719212,-2.559667184,6.853386395999999,0.099747285,-0.098371802,2.017167,0.73312013,0.2663253,1.4237683335261433,0,0
4.356305469,-4.460133893,8.816439362,0.021644749,-0.089689564,1.954419,0.10800443,0.04912971,1.398172892,0,0
4.413128126,-5.060169901,9.473298027,-0.026708585,-0.028929684,2.112604,-0.13602514,1.40234979,1.4537255020889734,0,0
4.417338706,-4.103570098,8.520908804,-0.128557884,-0.039925958,2.438615,0.01139052,-0.11108688,1.5668892449676517,0,0
4.424259471,-4.835645006,9.259904477,0.08006791,0.03801041,2.451283,-0.18433738,0.66017689,1.5677032925141958,0,0
4.491474969,-3.933321397,8.424796366,-0.03205764,-0.090893506,1.987081,0.33217905,0.7174886,1.4100029211360503,0,0
4.515164378,-2.793708422,7.3088728,0.036970404,-0.208743845,1.85437,0.99472195,1.20488226,1.3622544700762096,0,0
4.580661964,-4.706317459,9.286979423,-0.110872994,-0.189850614,2.080651,0.26868151,1.04270533,1.4467010180147029,0,0
4.602203107,-5.151647835,9.753850942,-0.042633821,-0.058568636,3.7662,-0.20344221,-0.04766879,1.9411381639642704,0,0
4.612281368,-3.621840804,8.234122172,0.054897851,0.118899622,1.699898,0.25917436,0.33204513,1.304956684638135,0,0
4.805351751,-3.238972725,8.044324476,-0.013934645,-0.136095406,2.271706,0.63391688,0.31230228,1.5072823367808317,0,0
4.854356096,-4.618857731,9.473213827,-0.077571029,-0.144037972,2.254597,0.2758395,0.64864808,1.5035340812658486,0,0
4.898884982,-6.33730471,11.23618969,-0.062411228,0.196752082,2.720502,-0.63752044,1.63445288,1.650574909835576,0,0
4.919767143,-2.845522354,7.765289496999999,-0.008267426,-0.013054786,1.872682,0.60592614,0.69856308,1.368484521844238,0,0
4.951222824,-5.028231239,9.979454063,-0.049361084,-0.193114237,2.062854,0.38048552,1.37918691,1.437111794102243,0,0
4.955443929,-5.219357423,10.17480135,-0.041013555,-0.055757879,2.143036,-0.11161535,1.90173009,1.4644857030232452,0,0
5.042042363,-3.553333656,8.595376019,-0.007892292,-0.008917296,2.138746,0.30028191,0.25314148,1.4624666028590976,0,0
5.069321378,-2.305905626,7.375227003999999,-0.064058279,-0.030036562,1.480661,0.8632674,1.20945119,1.2185092670372812,0,0
5.15882997,-3.932001096,9.090831066,-0.029645671,-0.008046061,2.601502,0.38546827,0.35090518,1.6131895426235503,0,0
5.214931666,-3.655133096,8.870064762,-0.007269739,0.019900121,2.333646,0.23551842,0.25227939,1.5276447277167795,0,0
5.236249444,-4.30858108,9.544830524,-0.102893501,-0.168897701,2.201334,0.31146542,0.60612881,1.4872527857360314,0,0
5.307234058,-4.989754221,10.29698828,-0.077174064,-0.114538476,2.923774,0.11221284,0.88560477,1.7116453947952466,0,0
5.5094413,-3.31041576,8.81985706,0.076915289,-0.344477893,3.01031,0.79933296,0.21541865,1.7367286561832738,0,0
5.771296574,-5.311044688,11.08234126,-0.026171524,-0.059631367,3.440658,0.02119222,0.82261774,1.8550857652229444,0,0
6.017156205,-3.263877186,9.281033391,-0.05681195,-0.214729347,2.270616,0.61657382,1.12093637,1.5079269255568468,0,0
6.159794353,-3.11612974,9.275924093,-0.013745555,-0.157037209,2.130676,0.78064385,1.08444265,1.459748416608543,0,0
6.215780273,-3.473772347,9.68955262,0.041988762,-0.202907446,2.565003,0.60551902,0.47446267,1.6021131141361429,0,0
7.323862138,-3.651972676,10.97583481,-0.022524894,-0.210708801,2.826438,0.84881336,2.1231807,1.6813521581351294,0,0
9.424253336,-3.547357217,12.97161055,-0.02804917,-0.394025152,2.838181,0.85291739,1.80259677,1.6849238099691788,0,0
9.559070833,-31.16576702,40.72483785,-0.43457357,-0.021838181,23.24843,-4.05853252,21.17075092,4.841206874516087,0,0
10.63396858,-7.758010299,18.39197888,-0.113598692,-0.152852649,6.78371,0.2492595,1.91886735,2.6070317880938774,0,0
12.81530746,-3.722555001,16.53786246,0.1025290448348059,-0.299904276,4.954355,2.12968167,7.80022067,2.2281981872442183,0,0
19.2116211,-11.39011414,30.60173524,-0.023886806,0.052098107,17.533009,1.03869694,6.15493096,4.187311757291366,0,1
20.31393352,-13.55352078,33.8674543,0.443158427,0.04295657,24.056437,1.4268381,5.34583701,4.924715819751335,0,1
22.39136036,-12.95350757,35.34486793,0.099558687,-0.212390461,22.677185,1.80307383,7.98035599,4.763097411829927,0,1
22.49522329,-14.83726294,37.33248623,-0.172676518,-3.660104984,102.87737,0.49650607,-1.17558571,10.144317991411818,0,1
23.50986957,-3.750863711,27.26073328,0.003913717,-0.300429648,5.315624,3.98607835,32.49207338,2.305567108062729,0,1
23.53982135,-17.80576335,41.3455847,-0.441858769,-1.229581744,102.111216,0.62457767,-0.61395557,10.114665334301458,0,1
24.82082935,-14.73692823,39.55775758,0.30874683,-3.571314722,110.761681,0.58150477,-1.06779587,10.528865360387313,0,1
26.11610456,-12.19431679,38.31042135,0.2895902267856342,-0.377719314,29.171874,1.73583008,6.39677658,5.408857242613328,0,1
27.0130347,-16.45602249,43.46905719,-0.02051732,-0.896831026,108.930339,0.68721811,-0.40280117,10.43698996197359,0,1
27.38403352,-19.42947082,46.81350434,-0.494748864,-0.25943862,28.251471,0.92479836,7.41901134,5.338187618862954,0,1
27.40847722,-13.55628066,40.96475788,-0.226967779,-4.526122645,104.511678,0.91632545,-0.27874455,10.22561452714697,0,1
27.87866118,-17.96788091,45.84654209,-0.455472209,-0.162879455,34.419425,1.0307043,7.53578219,5.884460894288463,0,1
28.10341178,-15.29851821,43.40192999,0.209622972,-1.13740799,104.585205,0.69058594,-0.23374707,10.22883896242385,0,1
28.56190365,-21.89038496,50.45228861,-0.675965002,-5.485801007,199.656367,0.52442053,-1.08919412,14.146140666147494,0,1
28.63762743,-22.59324835,51.23087578,0.2972684349217301,-1.031963397,144.59042,0.65516506,-0.20060834,12.028249620488472,0,1
28.7064094,-15.00164221,43.70805161,-0.405148087,-3.922465457,101.900472,0.71558374,-0.53716444,10.10270345765207,0,1
28.7853702,-12.74824925,41.53361945,0.03550496,-0.351448066,23.504501,2.42292387,10.64402422,4.848274087828785,0,1
29.91427809,-13.23454113,43.14881922,0.268004586,-0.279738983,69.106381,1.10016607,1.39163329,8.317343755477406,0,1
30.56931828,-19.11276457,49.68208285,-0.211420882,-5.871360268,192.617885,0.70783291,-0.81076553,13.880294794015168,0,1
30.61886992,-12.89704569,43.51591561,-0.408627813,-5.757530474,128.409693,1.32893749,0.53821384,11.339165289731472,0,1
31.278361,-16.53304553,47.81140653,0.1991571568157259,-0.171167298,45.393627,1.64322223,6.64230062,6.740422109029509,0,1
31.39187651,-21.41503439,52.8069109,-0.563654651,-0.50032607,53.616625,1.39249073,6.14183999,7.343999679545878,0,1
31.61406602,-15.88057695,47.49464297,-0.456499549,-0.298146895,42.726971,1.65783851,8.04852172,6.552508155469112,0,1
31.62288363,-24.39628641,56.01917004,-0.453851195,-0.324347099,93.341601,0.56552144,1.47126708,9.671999905351075,0,1
31.78378497,-22.18008877,53.96387374,-0.44436883,-0.255938184,37.665342,1.00396009,9.81760366,6.15327605,0,1
32.37542028,-18.34771955,50.72313983,-0.059484831,-0.548810598,93.765234,1.16680727,1.89855304,9.683427699901516,0,1
32.56793869,-18.3320993,50.90003799,-0.148589001,-0.767904599,82.210462,0.71244606,0.79785857,9.068215972318042,0,1
32.8479712,-14.85811879,47.70608999,0.407770343,-2.997759584,125.573732,0.88831863,-0.22588115,11.21338525175559,0,1
33.01801992,-18.9957419,52.01376182,-0.269000176,-5.574307387,175.18762,0.81474372,-0.58028148,13.23857925949503,0,1
33.32160502,-18.03909532,51.36070034,0.393042518,-0.054313032,47.03872,1.8980364,8.63136109,6.869730875340599,0,1
33.40291874,-16.99594035,50.39885909,-0.041991933,-2.898123029,140.646953,0.86594369,-0.12803484,11.859541169158163,0,1
33.48877926,-20.21399993,53.70277919,-0.014243431,-4.263086234,167.972394,0.96356701,-0.13608241,12.960424267266893,0,1
33.91215275,-17.21367897,51.12583172,-0.050838868,-5.371963028,149.023797,0.86792365,-0.30243952,12.20763618995505,0,1
33.92600598,-18.18291344,52.10891942,-0.596010957,-5.095204955,159.139904,0.93596537,0.01174736,12.629138247490411,0,1
34.04978451,-19.8514328,53.90121731000001,0.4317182450749741,-0.088804295,47.003949,1.95790473,8.78924704,6.869521813200024,0,1
34.05486925,-21.98122964,56.036098890000005,-1.059286424,-6.73772233,170.934268,1.00933134,-0.10565407,13.117025424785238,0,1
34.11352618,-16.28182692,50.3953531,0.5116410468803401,-1.194376535,170.744393,0.87328442,-0.2002664,13.076932736197598,0,1
34.15159389,-19.34305949,53.49465338,-0.132411638,-0.491073729,53.769169,1.63181861,7.32242311,7.333941771059652,0,1
34.2847771,-18.41560689,52.70038399,-0.142862184,-0.509869019,100.571689,1.34443902,2.19420224,10.029561220314156,0,1
34.29407651,-18.33497145,52.62904796,0.204931342,-0.159260028,55.232835,1.69878722,7.36595698,7.434704525100265,0,1
35.4705246,-16.81005854,52.28058314,0.14086152,-2.388273014,172.281368,0.86217863,-0.20241497,13.126355560028273,0,1
35.56248493,-23.10124509,58.66373002,0.2765078114695601,-0.264956052,47.84337,1.65189494,8.75124879,6.922414825209335,0,1
36.31541452,-18.33637244,54.65178696,0.100976834,-4.775302033,154.946462,0.89904037,-0.19789831,12.44815884137285,0,1
36.4622919,-25.10325454,61.56554643999999,-0.465873781,-0.105417112,77.508917,0.7597432,5.38413815,8.816232514440154,0,1
36.62803941,-15.93738148,52.56542089,0.2768512243460799,-4.220787184,145.780283,1.03860518,0.16913928,12.077124241564078,0,1
36.76073846,-20.14613948,56.90687794,-0.095978804,-5.894514072,220.470602,0.68978792,-0.80948706,14.848562685190672,0,1
36.84024189,-18.37828295,55.21852484,-0.267077291,-0.361732734,102.908396,0.95558581,1.59194459,10.147892701496833,0,1
36.9805774,-21.18141474,58.16199214,-0.698514689,-6.410455425,206.516244,0.85242291,-0.35669879,14.387639363387535,0,1
37.07773941,-26.43075493,63.50849434,-0.410723923,-0.253549596,52.59873,1.4010292,9.24538903,7.2641189336716785,0,1
37.42538211,-19.75032274,57.17570485,0.418031515,-5.799923957,208.649632,0.83106139,-0.54400456,14.450757148697704,0,1
37.43128312,-27.06484805,64.49613117,-0.747090827,-0.285353479,65.015474,0.76265529,7.39304554,8.097753934416327,0,1
37.66435781,-38.00657897,75.67093678,-0.396596164,-0.738809731,213.894551,0.3889231,0.32500109,14.630510582658031,0,1
37.91057003,-25.87596643,63.78653646,0.4005202446886199,-1.31282943,268.237543,0.59181433,-0.67906897,16.38285565423825,0,1
38.07812551,-19.74016496,57.81829047,-0.36865579,-7.30243794,220.539538,1.01240557,-0.19998473,14.85514876717406,0,1
38.37327424,-26.7255809,65.09885514,-0.652620055,-4.324882825,242.927676,0.67159033,-0.46830581,15.599794524465816,0,1
38.41523386,-21.85035492,60.26558878,-0.235396666,-6.466431697,228.706675,0.91270889,-0.34888362,15.124883016310012,0,1
38.47924918,-18.93080039,57.41004957,-0.162231781,-5.662174374,223.804938,0.82692006,-0.48064642,14.960991165512572,0,1
38.6260447,-17.38284711,56.00889181,0.113541964,-0.247843883,67.83383,1.57920631,4.87641066,8.236912146258089,0,1
38.70974408,-16.27754325,54.98728733,-0.152045316,-0.117986872,45.296446,2.41037763,13.22357305,6.731980642475354,0,1
38.73684242,-22.16860016,60.90544258,0.026678717,-1.643659629,188.027733,0.76103221,-0.25202414,13.71234644559808,0,1
38.85016613,-25.04144012,63.89160625,-0.696362488,-6.678309065,256.238504,0.85729413,-0.36096122,16.022591061425825,0,1
38.86140448,-27.12736414,65.98876862,0.310397484,-0.172211903,79.332032,1.69365643,7.96502598,8.912260031101187,0,1
38.90204731,-26.81071402,65.71276133,0.3025898969940399,-6.859463407,328.187343,0.56384345,-1.01261085,18.118468587747348,0,1
39.27970026,-21.96444112,61.24414138,0.2846751298848999,-1.781049609,185.030505,0.80963166,0.01847806,13.60557036169945,0,1
39.41541179,-23.33790296,62.75331475,0.4073587341628899,-0.043708814,77.501644,1.74639949,6.95582594,8.812921508,0,1
39.51211071,-19.98717708,59.49928779,-0.405411642,-4.20916058,181.355159,1.15959027,0.63337984,13.472917945294933,0,1
40.03429981,-19.27538382,59.30968363,-0.469444026,-7.266836875,230.475784,1.03596707,-0.09464607,15.18868532334458,0,1
40.03792976,-17.9026751,57.94060485999999,0.622241764,-6.074406293,265.761291,0.68576551,-0.96050152,16.31405760301004,0,1
40.20751772,-29.62925674,69.83677446,-0.524832148,-6.172224656,254.489584,0.80910542,-0.17464508,15.961360603543264,0,1
40.21199435,-25.77102294,65.98301728999999,0.1782417330449798,-6.523437664,334.901713,0.58709928,-1.00294774,18.301188028919505,0,1
40.25102101,-20.97961329,61.230634300000006,-0.455365984,-5.852489257,157.237269,1.02429209,0.14479195,12.547694082859616,0,1
40.26384746,-19.71772335,59.98157081,0.291733795,-5.729432264,234.893086,0.78135554,-0.52847373,15.328998495290849,0,1
40.46115591,-23.24144729,63.7026032,0.5030762334639202,-0.142192883,78.640712,1.87880935,7.31943609,8.882218088260641,0,1
40.47840753,-23.19277039,63.67117792,0.3246234812746602,-3.385933135,216.00077,1.12847769,0.35073417,14.700549325071467,0,1
40.59008467,-18.7425598,59.332644470000005,-0.124380697,-6.212806087,204.284339,0.86276543,-0.42461025,14.293348427774296,0,1
40.60332745,-19.57277321,60.17610066,0.029528605,-1.797880819,182.167722,1.14181894,0.68521549,13.496984614802836,0,1
40.63548713,-36.95141383,77.58690096000001,0.518846969,-1.06391346,290.772819,0.59896553,-0.26530883,17.059953740456475,0,1
40.90148867,-19.3910359,60.29252457,-0.40164444,-2.919796904,125.168152,0.94559222,0.92896931,11.195064564178764,0,1
41.25726133,-29.37612142,70.63338275,-0.050796427,-5.471862414,325.546138,0.49165946,-0.92390566,18.04296865440357,0,1
41.61594825,-20.5486735,62.16462175,-0.069401922,-5.672334496,207.394782,0.94352758,-0.02335318,14.401374872879112,0,1
42.01182346,-29.57352809,71.58535155,0.4785647431281221,-1.967523748,254.596801,0.5279336,-0.50249041,15.963264875248772,0,1
42.42843524,-19.31400117,61.74243641,-0.136174656,-2.674155374,169.010885,1.1849725,0.88605384,13.001131824350631,0,1
42.85188124,-29.25905314,72.11093438,-0.454407222,-8.673005408,413.885521,0.59664466,-1.02227437,20.349250777003668,0,1
42.9854831,-19.82762293,62.81310603,0.201291325,-6.552005406,219.099064,0.90127678,-0.35331058,14.803363891053856,0,1
43.07748085,-25.47992516,68.55740601,0.7283194271908001,-6.335452605,317.876673,0.70099817,-0.84196746,17.84396600156674,0,1
43.20625525,-25.18555294,68.39180819,-0.450053624,-6.069148769,245.415056,0.7490815,-0.38889226,15.672192067910172,0,1
43.21039041,-19.77744213,62.98783254,0.102759571,-5.284808816,241.644504,0.79395687,-0.55219793,15.545258565780264,0,1
43.22912021,-26.57604421,69.80516442,0.2083562584066959,-0.254535729,65.326671,1.57846981,10.32383666,8.085176774197553,0,1
43.2687503,-26.029802,69.2985523,0.4324114348091998,-6.122913332,253.637501,0.66032097,-0.77832405,15.931869955780517,0,1
43.41298473,-27.56355473,70.97653946,-0.687989773,-2.637150393,280.113837,0.73642817,-0.2255083,16.750736311620567,0,1
44.21363228,-27.5087172,71.72234947999999,0.42483404,-1.515941529,259.785073,0.63567588,-0.54327075,16.12344742800228,0,1
44.24619893,-19.20985407,63.456053,0.527101395,-1.982207276,171.306828,1.02697292,0.44793882,13.099032934566232,0,1
45.09555144,-27.94424355,73.03979499,-0.108148278,-7.281932923,357.451079,0.62361386,-0.89967706,18.90668599595786,0,1
45.18455074,-27.01546012,72.20001085999999,-0.987540502,-9.824772114,404.951593,0.76590006,-0.8277952,20.14762590787221,0,1
45.61837672,-20.90518993,66.52356664999999,-0.192003249,-6.312317219,254.877408,0.8584065,-0.47474896,15.966034997359468,0,1
45.88809241,-26.44961103,72.33770344,0.092973252,-1.003675151,286.295341,0.64570396,-0.55291174,16.920519647072677,0,1
46.64914261,-27.22864961,73.87779222,0.092848107,-2.481500436,316.441842,0.90056847,-0.20584376,17.789054567015697,0,1
46.72677024,-22.48417907,69.21094931,-0.212816213,-5.292638823,183.876965,0.82511279,-0.05401214,13.56179398,0,1
47.03367422,-19.23086429,66.26453851,-0.48348269,-7.643967374,233.012909,1.06940125,-0.00249737,15.272415136575868,0,1
47.29759882,-29.60043464,76.89803346,-0.503753611,-7.255889425,376.736159,0.6911529,-0.63098566,19.41622843619305,0,1
47.52328264,-38.47320316,85.99648579999999,0.7328999068315921,-5.1189581,297.119186,0.77878481,-0.04839749,17.252719435180644,0,1
47.61373672,-32.16463517,79.77837188999999,0.4880763137745201,-8.657079347,486.941651,0.58503785,-1.02591016,22.07215144785235,0,1
48.20158772,-29.13991729,77.34150500999999,0.4505359789293999,-9.973544283,441.715593,0.74457048,-0.87037405,21.02185946087664,0,1
48.32235377,-17.13312305,65.45547682,0.1246990026971398,-4.795972525,149.156751,1.32242361,1.76069028,12.21361130392188,0,1
48.50151714,-19.97697953,68.47849667,-0.298587992,-3.314100967,237.686682,1.22998059,0.79535953,15.419981740437503,0,1
49.56677224,-27.71354283,77.28031507,-0.4359712,-9.420951705,379.558533,0.80001235,-0.57276679,19.48713944,0,1
49.92510833,-29.59062301,79.51573134,0.1644065600650001,-9.149942616,465.971308,0.73357556,-0.83097383,21.586994630277644,0,1
50.96363932,-22.91717942,73.88081874,-0.618169032,-0.483656243,161.573742,1.6300351,4.11370339,12.72618854,0,1
53.82367154,-20.86095458,74.68462612,0.5993351743994622,-1.284397344,236.984736,1.2881852,1.33919464,15.40597088112177,0,1
59.86154384,-27.4588311,87.32037494000001,0.467272768,-9.606979995,519.150203,0.88620354,-0.56416198,22.78965876140391,0,1
